experiment,experiment_title,model,arm,subset,value,se,n_groups,n_rows
gpn_uniform,"#517 uniform grid / GPN-Star-P, center-1 projection",exp517-gpn-uniform-ncrna-exon-step-4999,ncRNA exon,Promoter,0.10070371154205641,0.008763285871813516,205,2050
gpn_uniform,"#517 uniform grid / GPN-Star-P, center-1 projection",exp517-gpn-uniform-ncrna-exon-step-4999,ncRNA exon,Distal,0.13764361397292085,0.03323594246397052,58,580
gpn_uniform,"#517 uniform grid / GPN-Star-P, center-1 projection",exp517-gpn-uniform-tss-utr5-step-4999,TSS / 5′ UTR,Missense,0.12700672784853498,0.007799968407037526,580,5800
gpn_uniform,"#517 uniform grid / GPN-Star-P, center-1 projection",exp517-gpn-uniform-tss-utr5-step-4999,TSS / 5′ UTR,Synonymous,0.16127836958991865,0.03455128351975312,46,460
gpn_uniform,"#517 uniform grid / GPN-Star-P, center-1 projection",exp517-gpn-uniform-tss-utr5-step-4999,TSS / 5′ UTR,Splicing,0.15652729039739097,0.014502898762595423,319,3190
gpn_uniform,"#517 uniform grid / GPN-Star-P, center-1 projection",exp517-gpn-uniform-tss-utr5-step-4999,TSS / 5′ UTR,3′ UTR,0.12034561859847975,0.015129967447418229,77,770
gpn_uniform,"#517 uniform grid / GPN-Star-P, center-1 projection",exp517-gpn-uniform-tss-utr5-step-4999,TSS / 5′ UTR,ncRNA,0.1763831500194129,0.024160783924393733,115,1150
gpn_uniform,"#517 uniform grid / GPN-Star-P, center-1 projection",exp517-gpn-uniform-tss-utr5-step-4999,TSS / 5′ UTR,5′ UTR,0.24923867252836504,0.023098863568063472,210,2100
gpn_uniform,"#517 uniform grid / GPN-Star-P, center-1 projection",exp517-gpn-uniform-tss-utr5-step-4999,TSS / 5′ UTR,Promoter,0.2600475124181255,0.02671652055106651,205,2050
gpn_uniform,"#517 uniform grid / GPN-Star-P, center-1 projection",exp517-gpn-uniform-tss-utr5-step-4999,TSS / 5′ UTR,Distal,0.11771707430025505,0.028114112526563075,58,580
gpn_uniform,"#517 uniform grid / GPN-Star-P, center-1 projection",exp517-gpn-uniform-enhancer-arm-a-step-4999,Enhancer,Missense,0.1009163861778,0.004021895732452996,580,5800
gpn_uniform,"#517 uniform grid / GPN-Star-P, center-1 projection",exp517-gpn-uniform-enhancer-arm-a-step-4999,Enhancer,Synonymous,0.13189949352742414,0.023071221803008437,46,460
gpn_uniform,"#517 uniform grid / GPN-Star-P, center-1 projection",exp517-gpn-uniform-enhancer-arm-a-step-4999,Enhancer,Splicing,0.09264156253916683,0.004933077953653399,319,3190
gpn_uniform,"#517 uniform grid / GPN-Star-P, center-1 projection",exp517-gpn-uniform-enhancer-arm-a-step-4999,Enhancer,3′ UTR,0.10563879003478731,0.010103222965880522,77,770
gpn_uniform,"#517 uniform grid / GPN-Star-P, center-1 projection",exp517-gpn-uniform-enhancer-arm-a-step-4999,Enhancer,ncRNA,0.10966648375487986,0.007739293743901934,115,1150
gpn_uniform,"#517 uniform grid / GPN-Star-P, center-1 projection",exp517-gpn-uniform-enhancer-arm-a-step-4999,Enhancer,5′ UTR,0.11291522497219915,0.009454458037573407,210,2100
gpn_uniform,"#517 uniform grid / GPN-Star-P, center-1 projection",exp517-gpn-uniform-enhancer-arm-a-step-4999,Enhancer,Promoter,0.10010828306957045,0.007695313520616652,205,2050
gpn_uniform,"#517 uniform grid / GPN-Star-P, center-1 projection",exp517-gpn-uniform-enhancer-arm-a-step-4999,Enhancer,Distal,0.11891454986765719,0.01813306268890533,58,580
gpn_uniform,"#517 uniform grid / GPN-Star-P, center-1 projection",exp517-gpn-uniform-background-step-4999,Background,Missense,0.1389930987895761,0.010471938725530197,580,5800
gpn_uniform,"#517 uniform grid / GPN-Star-P, center-1 projection",exp517-gpn-uniform-background-step-4999,Background,Synonymous,0.13700256172424502,0.029300169855293275,46,460
gpn_uniform,"#517 uniform grid / GPN-Star-P, center-1 projection",exp517-gpn-uniform-background-step-4999,Background,Splicing,0.24445971419207146,0.02165812536273857,319,3190
gpn_uniform,"#517 uniform grid / GPN-Star-P, center-1 projection",exp517-gpn-uniform-background-step-4999,Background,3′ UTR,0.10207063141870143,0.011099714478835152,77,770
gpn_uniform,"#517 uniform grid / GPN-Star-P, center-1 projection",exp517-gpn-uniform-background-step-4999,Background,ncRNA,0.11318086518859088,0.00897866964414727,115,1150
gpn_uniform,"#517 uniform grid / GPN-Star-P, center-1 projection",exp517-gpn-uniform-background-step-4999,Background,5′ UTR,0.1087534493616247,0.00875478781608877,210,2100
gpn_uniform,"#517 uniform grid / GPN-Star-P, center-1 projection",exp517-gpn-uniform-background-step-4999,Background,Promoter,0.09857481613983257,0.0067829454738173945,205,2050
gpn_uniform,"#517 uniform grid / GPN-Star-P, center-1 projection",exp517-gpn-uniform-background-step-4999,Background,Distal,0.12021799189413862,0.02297361830501037,58,580
phylop_uniform,"#517 uniform grid / phyloP, center-1 projection",exp517-phylop-uniform-cds-step-4999,CDS,Missense,0.33185172047328365,0.017587146430101088,580,5800
phylop_uniform,"#517 uniform grid / phyloP, center-1 projection",exp517-phylop-uniform-cds-step-4999,CDS,Synonymous,0.2965874743007192,0.0601801176692816,46,460
phylop_uniform,"#517 uniform grid / phyloP, center-1 projection",exp517-phylop-uniform-cds-step-4999,CDS,Splicing,0.37153828149683066,0.026457316223863582,319,3190
phylop_uniform,"#517 uniform grid / phyloP, center-1 projection",exp517-phylop-uniform-cds-step-4999,CDS,3′ UTR,0.12747067882576868,0.022777441922899416,77,770
phylop_uniform,"#517 uniform grid / phyloP, center-1 projection",exp517-phylop-uniform-cds-step-4999,CDS,ncRNA,0.1024686927308536,0.006613670258477217,115,1150
phylop_uniform,"#517 uniform grid / phyloP, center-1 projection",exp517-phylop-uniform-cds-step-4999,CDS,5′ UTR,0.10946296598982701,0.008237024053689103,210,2100
phylop_uniform,"#517 uniform grid / phyloP, center-1 projection",exp517-phylop-uniform-cds-step-4999,CDS,Promoter,0.09430480524440484,0.005297218388890673,205,2050
phylop_uniform,"#517 uniform grid / phyloP, center-1 projection",exp517-phylop-uniform-cds-step-4999,CDS,Distal,0.11478908201750261,0.01759097827912399,58,580
phylop_uniform,"#517 uniform grid / phyloP, center-1 projection",exp517-phylop-uniform-utr3-step-4999,3′ UTR,Missense,0.11147251525092369,0.006732876088042404,580,5800
phylop_uniform,"#517 uniform grid / phyloP, center-1 projection",exp517-phylop-uniform-utr3-step-4999,3′ UTR,Synonymous,0.12434725071355485,0.02750203512523031,46,460
phylop_uniform,"#517 uniform grid / phyloP, center-1 projection",exp517-phylop-uniform-utr3-step-4999,3′ UTR,Splicing,0.09965200477289567,0.005297919923167096,319,3190
phylop_uniform,"#517 uniform grid / phyloP, center-1 projection",exp517-phylop-uniform-utr3-step-4999,3′ UTR,3′ UTR,0.20277598793353413,0.03374094095527937,77,770
phylop_uniform,"#517 uniform grid / phyloP, center-1 projection",exp517-phylop-uniform-utr3-step-4999,3′ UTR,ncRNA,0.10512130962629282,0.009992878930495172,115,1150
phylop_uniform,"#517 uniform grid / phyloP, center-1 projection",exp517-phylop-uniform-utr3-step-4999,3′ UTR,5′ UTR,0.12167020033366414,0.009816686328466395,210,2100
phylop_uniform,"#517 uniform grid / phyloP, center-1 projection",exp517-phylop-uniform-utr3-step-4999,3′ UTR,Promoter,0.0915240765177257,0.006227776319955342,205,2050
phylop_uniform,"#517 uniform grid / phyloP, center-1 projection",exp517-phylop-uniform-utr3-step-4999,3′ UTR,Distal,0.12239560111175043,0.023437547397736767,58,580
phylop_uniform,"#517 uniform grid / phyloP, center-1 projection",exp517-phylop-uniform-ncrna-exon-step-4999,ncRNA exon,Missense,0.15785043773298513,0.011493101952309688,580,5800
phylop_uniform,"#517 uniform grid / phyloP, center-1 projection",exp517-phylop-uniform-ncrna-exon-step-4999,ncRNA exon,Synonymous,0.15706715096016477,0.03303966882678322,46,460
phylop_uniform,"#517 uniform grid / phyloP, center-1 projection",exp517-phylop-uniform-ncrna-exon-step-4999,ncRNA exon,Splicing,0.2061473533666246,0.019249662308713247,319,3190
phylop_uniform,"#517 uniform grid / phyloP, center-1 projection",exp517-phylop-uniform-ncrna-exon-step-4999,ncRNA exon,3′ UTR,0.11496648419725847,0.020945047974061496,77,770
phylop_uniform,"#517 uniform grid / phyloP, center-1 projection",exp517-phylop-uniform-ncrna-exon-step-4999,ncRNA exon,ncRNA,0.3305311832690447,0.03494327042342853,115,1150
phylop_uniform,"#517 uniform grid / phyloP, center-1 projection",exp517-phylop-uniform-ncrna-exon-step-4999,ncRNA exon,5′ UTR,0.12243477824609153,0.008776205293990244,210,2100
phylop_uniform,"#517 uniform grid / phyloP, center-1 projection",exp517-phylop-uniform-ncrna-exon-step-4999,ncRNA exon,Promoter,0.10666996596011691,0.01029038754576844,205,2050
phylop_uniform,"#517 uniform grid / phyloP, center-1 projection",exp517-phylop-uniform-ncrna-exon-step-4999,ncRNA exon,Distal,0.10814258141502138,0.01628759641292715,58,580
phylop_uniform,"#517 uniform grid / phyloP, center-1 projection",exp517-phylop-uniform-tss-utr5-step-4999,TSS / 5′ UTR,Missense,0.12003451764560405,0.0073973700000562375,580,5800
phylop_uniform,"#517 uniform grid / phyloP, center-1 projection",exp517-phylop-uniform-tss-utr5-step-4999,TSS / 5′ UTR,Synonymous,0.16856754431993556,0.034204066479866756,46,460
phylop_uniform,"#517 uniform grid / phyloP, center-1 projection",exp517-phylop-uniform-tss-utr5-step-4999,TSS / 5′ UTR,Splicing,0.15481817064688927,0.014426868959271191,319,3190
phylop_uniform,"#517 uniform grid / phyloP, center-1 projection",exp517-phylop-uniform-tss-utr5-step-4999,TSS / 5′ UTR,3′ UTR,0.1341286763518754,0.024093577274370975,77,770
