point_id,arm,plot_series,kind,step,objective,dataset,endpoint,orientation,auprc,se,n_rows
scratch-step0800,scratch_mntp,Scratch MNTP,lightning,800,mntp,complex_traits,_global_,protocol_fwd,0.10163912274855305,0.0031211984631380244,11630
scratch-step0800,scratch_mntp,Scratch MNTP,lightning,800,mntp,complex_traits,_global_,protocol_fwd_rc,0.10046867067350809,0.003019759354086415,11630
scratch-step0800,scratch_mntp,Scratch MNTP,lightning,800,mntp,sge,accession_consequence_macro,protocol_fwd,0.13320342112818875,0.003720860945082745,8
scratch-step0800,scratch_mntp,Scratch MNTP,lightning,800,mntp,sge,accession_consequence_macro,protocol_fwd_rc,0.1335494604524291,0.0037335803126123837,8
scratch-step1000,scratch_mntp,Scratch MNTP,hf,1000,mntp,mendelian_traits,_macro_avg_,protocol_fwd,0.11130963845827846,0.005703637083512984,16100
scratch-step1000,scratch_mntp,Scratch MNTP,hf,1000,mntp,mendelian_traits,_macro_avg_,protocol_fwd_rc,0.11051600439520673,0.005494027844471764,16100
scratch-step1000,scratch_mntp,Scratch MNTP,hf,1000,mntp,complex_traits,_global_,protocol_fwd,0.10177047520015636,0.003213837242804161,11630
scratch-step1000,scratch_mntp,Scratch MNTP,hf,1000,mntp,complex_traits,_global_,protocol_fwd_rc,0.10060862054465139,0.0031232995048830693,11630
scratch-step1000,scratch_mntp,Scratch MNTP,hf,1000,mntp,sge,accession_consequence_macro,protocol_fwd,0.13777898765423616,0.004057471019064479,8
scratch-step1000,scratch_mntp,Scratch MNTP,hf,1000,mntp,sge,accession_consequence_macro,protocol_fwd_rc,0.13927816613771082,0.004213597535790027,8
