alignment_name	scientific_name	assembly	taxonomy_id	family	clade	phylogenetic_rank	backend	selection_priority	assembly_level	contig_n50	selected	selection_reason
Nannospalax_galili	Nannospalax galili	GCF_000622305.1	1026970	Spalacidae	mammals	1	zoonomia_cactus	10	Scaffold	30353	true	selected_best_pinned_assembly_in_family
Sus_scrofa	Sus scrofa	GCF_000003025.5	9823	Suidae	mammals	1	zoonomia_cactus	10	Complete Genome	143529065	true	selected_best_pinned_assembly_in_family
Scalopus_aquaticus	Scalopus aquaticus	GCA_004024925.1	71119	Talpidae	mammals	1	zoonomia_cactus	10	Scaffold	72421	true	selected_best_pinned_assembly_in_family
Tapirus_indicus	Tapirus indicus	GCA_004024905.1	9802	Tapiridae	mammals	1	zoonomia_cactus	10	Scaffold	225792	true	selected_best_pinned_assembly_in_family
Carlito_syrichta	Carlito syrichta	GCF_000164805.1	1868482	Tarsiidae	mammals	1	zoonomia_cactus	10	Scaffold	38165	true	selected_best_pinned_assembly_in_family
Catagonus_wagneri	Catagonus wagneri	GCA_004024745.1	51154	Tayassuidae	mammals	1	zoonomia_cactus	10	Scaffold	65965	true	selected_best_pinned_assembly_in_family
Microgale_talazaci	Nesogale talazaci	GCA_004026705.1	2583312	Tenrecidae	mammals	1	zoonomia_cactus	10	Scaffold	56946	true	selected_best_pinned_assembly_in_family
Thryonomys_swinderianus	Thryonomys swinderianus	GCA_004025085.1	10169	Thryonomyidae	mammals	1	zoonomia_cactus	10	Scaffold	18955	true	selected_best_pinned_assembly_in_family
Tragulus_javanicus	Tragulus javanicus	GCA_004024965.1	9849	Tragulidae	mammals	1	zoonomia_cactus	10	Scaffold	80230	true	selected_best_pinned_assembly_in_family
Trichechus_manatus	Trichechus manatus	GCF_000243295.1	9778	Trichechidae	mammals	1	zoonomia_cactus	10	Scaffold	37750	true	selected_best_pinned_assembly_in_family
Tupaia_tana	Tupaia tana	GCA_004365275.1	70687	Tupaiidae	mammals	1	zoonomia_cactus	10	Scaffold	2971	true	selected_best_pinned_assembly_in_family
Ursus_maritimus	Ursus maritimus	GCF_000687225.1	29073	Ursidae	mammals	1	zoonomia_cactus	10	Scaffold	46506	true	selected_best_pinned_assembly_in_family
Myotis_lucifugus	Myotis lucifugus	GCF_000147115.1	59463	Vespertilionidae	mammals	1	zoonomia_cactus	10	Scaffold	64330	true	selected_best_pinned_assembly_in_family
Paradoxurus_hermaphroditus	Paradoxurus hermaphroditus	GCA_004024585.1	71117	Viverridae	mammals	1	zoonomia_cactus	10	Scaffold	62870	true	selected_best_pinned_assembly_in_family
Mesoplodon_bidens	Mesoplodon bidens	GCA_004027085.1	48745	Ziphiidae	mammals	1	zoonomia_cactus	10	Scaffold	28959	true	selected_best_pinned_assembly_in_family
